run,overlap_threshold_ms,n_segments,n_segments_overlap_any,n_segments_overlap_gt_threshold,pct_segments_overlap_any,max_segments_overlap_ms,mean_segments_overlap_ms_overlapping,n_segments_start_in_silence,n_segments_end_in_silence,n_words,n_words_overlap_any,n_words_overlap_gt_threshold,pct_words_overlap_any,max_words_overlap_ms,mean_words_overlap_ms_overlapping,n_words_start_in_silence,n_words_end_in_silence,pass_segments_threshold
baseline,500,161,120,95,74.53416149068323,20586,1370.45,86,86,1813,745,25,41.09211252068395,6550,183.73557046979866,954,954,False
stable,500,46,18,2,39.130434782608695,7100,469.44444444444446,17,1,386,22,2,5.699481865284974,6180,365.0,26,10,False
